19:44 - 20:33,0:05,0:15,0:26,0:43,,,,,,,,,,,,,,,
20:34 - 21:28,0:06,0:17,0:28,0:46,,,,,,,,,,,,,,,
21:29 - 22:28,0:06,0:18,0:29,0:49,,,,,,,,,,,,,,,
22:29 - 23:34,0:06,0:18,0:31,0:51,,,,,,,,,,,,,,,
23:35 - 24:46,0:06,0:19,0:32,0:54,,,,,,,,,,,,,,,
24:47 - 26:06,0:07,0:20,0:34,0:57,,,,,,,,,,,,,,,
? 26:07,0:08,0:22,0:37,1:02,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Table A3.2.  Altitude Time Correction for 2.0 Kilometer Walk (Male).,,,,,,,,,,,,,,,,,,,
,,,,,,,Group 1,,,,Group 2,,,,Group 3,,,Group 4,
,,,,,,,5250 ft    5500 ft,,,,5500 ft    6000 ft,,,,6000 ft    6600 ft,,,> 6600 ft,
,,,2.0 km Maximum,,,,2.0 km Maximum,,,,2.0 km Maximum,,,,2.0 km Maximum,,,2.0 km Maximum,
,,,Walk Time,,,,Walk Time,,,,Walk Time,,,,Walk Time,,,Walk Time,
,Age (yrs),,,,,,,,,,,,,,,,,,
,< 30,,16:16,,,,16:18,,,,16:22,,,,16:25,,,16:31,
,30 - 39,,16:18,,,,16:20,,,,16:24,,,,16:27,,,16:33,
,40 - 49,,16:23,,,,16:25,,,,16:28,,,,16:31,,,16:37,
,50 - 59,,16:40,,,,16:42,,,,16:45,,,,16:48,,,16:53,
,60 +,,16:58,,,,16:59,,,,17:02,,,,17:05,,,17:10,
Table A3.3.  Altitude Time Correction for 2.0 Kilometer Walk (Female).,,,,,,,,,,,,,,,,,,,
,,,,,,,Group 1,,,,Group 2,,,,Group 3,,,Group 4,
,,,,,,,5250 ft    5500 ft,,,,5500 ft    6000 ft,,,,6000 ft    6600 ft,,,> 6600 ft,
,,,2.0 km Maximum,,,,2.0 km Maximum,,,,2.0 km Maximum,,,,2.0 km Maximum,,,2.0 km Maximum,
,,,Walk Time,,,,Walk Time,,,,Walk Time,,,,Walk Time,,,Walk Time,
,Age (yrs),,,,,,,,,,,,,,,,,,
,< 30,,17:22,,,,17:25,,,,17:30,,,,17:34,,,17:42,
,30 - 39,,17:28,,,,17:30,,,,17:35,,,,17:40,,,17:47,
,40 - 49,,17:49,,,,17:52,,,,17:56,,,,18:00,,,18:07,
,50 - 59,,18:11,,,,18:13,,,,18:17,,,,18:21,,,18:28,
,60 +,,18:53,,,,18:54,,,,18:58,,,,19:02,,,19:08,
Table A3.4.  Altitude Time Correction for HAMR.,,,,,,,,,,,,,,,,,,,
,Group 1,,,,Group 2,,,,Group 3,,,,Group 4,,,,,,
,5250 ft    5500 ft,,,,5500 ft    6000 ft,,,,6000 ft    6600 ft,,,,> 6600 ft,,,,,,
,Add 1 Shuttle,,,,Add 2 Shuttles,,,,Add 3 Shuttles,,,,Add 4 Shuttles,,,,,,
